Date,Gender,Event Name,Athlete Name,Team,Mark,Event Type
2023-Apr-29,F,5000,Madison Mariani,Mercyhurst,20:19.40,Individual
2022-Apr-29,F,5000,Madison Mariani,Mercyhurst,20:42.95,Individual
2022-Apr-22,F,5000,Madison Mariani,Mercyhurst,20:36.30,Individual
2022-Apr-8,F,5000,Madison Mariani,Mercyhurst,20:47.27,Individual
2022-Apr-2,F,1500,Madison Mariani,Mercyhurst,5:34.13,Individual
2021-Apr-25,F,800,Madison Mariani,Mercyhurst,2:47.93,Individual
2024-Apr-5,F,800,Bella Homorody,Mercyhurst,2:46.02,Individual
2024-Apr-5,F,1500,Bella Homorody,Mercyhurst,5:33.39,Individual
2023-Apr-16,F,3000S,Bella Homorody,Mercyhurst,13:42.32,Individual
2023-Apr-16,F,4x800,Bella Homorody,Mercyhurst,11:53.95,Individual
2023-Mar-31,F,1500,Bella Homorody,Mercyhurst,5:39.43,Individual
2024-Apr-5,F,800,Molly McIntyre,Mercyhurst,2:58.32,Individual
2024-Apr-5,F,1500,Molly McIntyre,Mercyhurst,5:52.04,Individual
2024-Apr-5,F,800,Rachel Bauer,Mercyhurst,2:43.15,Individual
2024-Apr-5,F,1500,Rachel Bauer,Mercyhurst,5:37.06,Individual
2024-Apr-5,F,800,Kathleen Tarlo,Mercyhurst,2:51.79,Individual
2024-Apr-5,F,1500,Kathleen Tarlo,Mercyhurst,5:54.68,Individual
2023-Apr-29,F,5000,Eleanor Chuzie,Mercyhurst,21:21.33,Individual
2023-Apr-22,F,5000,Eleanor Chuzie,Mercyhurst,21:29.73,Individual
2023-Apr-16,F,800,Eleanor Chuzie,Mercyhurst,2:50.59,Individual
2023-Apr-16,F,1500,Eleanor Chuzie,Mercyhurst,5:49.00,Individual
2023-Apr-16,F,4x800,Eleanor Chuzie,Mercyhurst,11:53.95,Individual
2023-Mar-31,F,1500,Eleanor Chuzie,Mercyhurst,5:48.69,Individual
2022-Apr-22,F,5000,Eleanor Chuzie,Mercyhurst,22:02.50,Individual
2022-Apr-8,F,5000,Eleanor Chuzie,Mercyhurst,21:39.08,Individual
2022-Apr-2,F,800,Eleanor Chuzie,Mercyhurst,2:43.73,Individual
2022-Apr-2,F,1500,Eleanor Chuzie,Mercyhurst,5:37.17,Individual
2021-Apr-25,F,800,Eleanor Chuzie,Mercyhurst,2:45.35,Individual
2021-Apr-25,F,1500,Eleanor Chuzie,Mercyhurst,5:46.50,Individual
2021-Apr-13,F,800,Eleanor Chuzie,Mercyhurst,2:51.04,Individual
